ano,senioridade,contrato,cargo,salario,moeda,usd,residencia,remoto,empresa,tamanho_empresa,residencia_iso3
2025,senior,integral,Solutions Engineer,214000,USD,214000,US,remoto,US,media,USA
2025,senior,integral,Solutions Engineer,136000,USD,136000,US,remoto,US,media,USA
2025,pleno,integral,Data Engineer,158800,USD,158800,AU,presencial,AU,media,AUS
2025,pleno,integral,Data Engineer,139200,USD,139200,AU,presencial,AU,media,AUS
2025,junior,integral,Data Engineer,90000,USD,90000,US,presencial,US,media,USA
2025,junior,integral,Data Engineer,80000,USD,80000,US,presencial,US,media,USA
2025,senior,integral,Data Scientist,185000,USD,185000,US,presencial,US,media,USA
2025,senior,integral,Data Scientist,148000,USD,148000,US,presencial,US,media,USA
2025,pleno,integral,Data Scientist,135000,USD,135000,CA,presencial,CA,media,CAN
2025,pleno,integral,Data Scientist,108000,USD,108000,CA,presencial,CA,media,CAN
2025,pleno,integral,BI Developer,118000,USD,118000,US,remoto,US,media,USA
2025,pleno,integral,BI Developer,51000,USD,51000,US,remoto,US,media,USA
2025,junior,integral,Data Analyst,91900,USD,91900,US,presencial,US,media,USA
2025,junior,integral,Data Analyst,54300,USD,54300,US,presencial,US,media,USA
2025,senior,integral,Applied Scientist,255000,USD,255000,US,presencial,US,media,USA
2025,senior,integral,Applied Scientist,190000,USD,190000,US,presencial,US,media,USA
2025,pleno,integral,Systems Engineer,196350,USD,196350,US,presencial,US,media,USA
2025,pleno,integral,Systems Engineer,130900,USD,130900,US,presencial,US,media,USA
2025,executivo,integral,Director,170000,USD,170000,US,presencial,US,media,USA
2025,executivo,integral,Director,160000,USD,160000,US,presencial,US,media,USA
2025,pleno,integral,Associate,119000,USD,119000,CA,presencial,CA,media,CAN
2025,pleno,integral,Associate,105000,USD,105000,CA,presencial,CA,media,CAN
2025,pleno,integral,Associate,120000,USD,120000,US,presencial,US,media,USA
2025,pleno,integral,Associate,110000,USD,110000,US,presencial,US,media,USA
2025,pleno,integral,Associate,120000,USD,120000,US,presencial,US,media,USA
2025,pleno,integral,Associate,110000,USD,110000,US,presencial,US,media,USA
2025,pleno,integral,Associate,120000,USD,120000,US,presencial,US,media,USA
2025,pleno,integral,Associate,110000,USD,110000,US,presencial,US,media,USA
2025,senior,integral,Software Engineer,190000,USD,190000,US,presencial,US,media,USA
2025,senior,integral,Software Engineer,150000,USD,150000,US,presencial,US,media,USA
2025,senior,integral,Consultant,180000,USD,180000,US,presencial,US,media,USA
2025,senior,integral,Consultant,130000,USD,130000,US,presencial,US,media,USA
2025,pleno,integral,Software Engineer,98348,USD,98348,US,presencial,US,media,USA
2025,pleno,integral,Software Engineer,88651,USD,88651,US,presencial,US,media,USA
2025,junior,integral,Analyst,122058,USD,122058,AU,presencial,AU,media,AUS
2025,junior,integral,Analyst,110266,USD,110266,AU,presencial,AU,media,AUS
2025,senior,integral,Product Manager,160000,USD,160000,US,presencial,US,media,USA
2025,senior,integral,Product Manager,100000,USD,100000,US,presencial,US,media,USA
2025,senior,integral,Software Developer,199100,USD,199100,JP,presencial,JP,media,JPN
2025,senior,integral,Software Developer,94800,USD,94800,JP,presencial,JP,media,JPN
2025,senior,integral,Engineer,170000,USD,170000,US,presencial,US,media,USA
2025,senior,integral,Engineer,130000,USD,130000,US,presencial,US,media,USA
2025,senior,integral,Developer,150000,USD,150000,US,presencial,US,media,USA
2025,senior,integral,Developer,114000,USD,114000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,54785,GBP,69348,GB,presencial,GB,media,GBR
2025,pleno,integral,Data Engineer,42180,GBP,53392,GB,presencial,GB,media,GBR
2025,senior,integral,Data Engineer,104000,USD,104000,US,presencial,US,media,USA
2025,senior,integral,Data Engineer,72800,USD,72800,US,presencial,US,media,USA
2025,senior,integral,Data Analyst,55114,GBP,69764,GB,presencial,GB,media,GBR
2025,senior,integral,Data Analyst,40736,GBP,51564,GB,presencial,GB,media,GBR
2025,junior,integral,Data Analyst,324000,MXN,15890,MX,presencial,MX,media,MEX
2025,junior,integral,Data Analyst,122870,USD,122870,US,presencial,US,media,USA
2025,junior,integral,Data Analyst,94945,USD,94945,US,presencial,US,media,USA
2025,junior,contrato,Data Analyst,74000,USD,74000,US,presencial,US,media,USA
2025,junior,contrato,Data Analyst,70000,USD,70000,US,presencial,US,media,USA
2025,pleno,integral,Consultant,72000,EUR,75789,NL,presencial,NL,media,NLD
2025,pleno,integral,Consultant,36000,EUR,37894,NL,presencial,NL,media,NLD
2025,pleno,integral,Data Specialist,32000,EUR,33684,ES,presencial,ES,media,ESP
2025,pleno,integral,Data Specialist,28000,EUR,29473,ES,presencial,ES,media,ESP
2025,senior,integral,Manager,160380,USD,160380,US,presencial,US,media,USA
2025,senior,integral,Manager,123930,USD,123930,US,presencial,US,media,USA
2025,senior,integral,Solutions Engineer,170000,USD,170000,US,presencial,US,media,USA
2025,senior,integral,Solutions Engineer,110000,USD,110000,US,presencial,US,media,USA
2025,senior,integral,Solutions Engineer,170000,USD,170000,US,presencial,US,media,USA
2025,senior,integral,Solutions Engineer,110000,USD,110000,US,presencial,US,media,USA
2025,senior,integral,Data Scientist,258000,USD,258000,US,presencial,US,media,USA
2025,senior,integral,Data Scientist,119800,USD,119800,US,presencial,US,media,USA
2025,pleno,integral,Manager,149800,USD,149800,US,presencial,US,media,USA
2025,pleno,integral,Manager,90210,USD,90210,US,presencial,US,media,USA
2025,senior,integral,Manager,222600,USD,222600,US,presencial,US,media,USA
2025,senior,integral,Manager,106400,USD,106400,US,presencial,US,media,USA
2025,pleno,contrato,Software Engineer,162000,USD,162000,US,presencial,US,media,USA
2025,pleno,contrato,Software Engineer,140000,USD,140000,US,presencial,US,media,USA
2025,senior,integral,Data Scientist,175074,USD,175074,US,presencial,US,media,USA
2025,senior,integral,Data Scientist,79560,USD,79560,US,presencial,US,media,USA
2025,senior,integral,Software Developer,223400,USD,223400,US,presencial,US,media,USA
2025,senior,integral,Software Developer,96800,USD,96800,US,presencial,US,media,USA
2025,senior,integral,Research Scientist,202000,USD,202000,US,presencial,US,media,USA
2025,senior,integral,Research Scientist,146000,USD,146000,US,presencial,US,media,USA
2025,junior,parcial,Analyst,130514,USD,130514,AU,presencial,AU,media,AUS
2025,junior,parcial,Analyst,115240,USD,115240,AU,presencial,AU,media,AUS
2025,senior,integral,Software Engineer,160000,USD,160000,US,presencial,US,media,USA
2025,senior,integral,Software Engineer,130000,USD,130000,US,presencial,US,media,USA
2025,senior,integral,Software Architect,233450,USD,233450,US,presencial,US,media,USA
2025,senior,integral,Software Architect,141950,USD,141950,US,presencial,US,media,USA
2025,pleno,integral,Associate,100000,USD,100000,US,presencial,US,media,USA
2025,pleno,integral,Associate,61000,USD,61000,US,presencial,US,media,USA
2025,junior,integral,Data Management Analyst,73116,USD,73116,US,presencial,US,media,USA
2025,junior,integral,Data Management Analyst,73116,USD,73116,US,presencial,US,media,USA
2025,senior,integral,Research Scientist,175392,USD,175392,US,presencial,US,media,USA
2025,senior,integral,Research Scientist,122774,USD,122774,US,presencial,US,media,USA
2025,senior,integral,Engineer,150000,USD,150000,US,presencial,US,media,USA
2025,senior,integral,Engineer,130000,USD,130000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,124000,USD,124000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,77000,USD,77000,US,presencial,US,media,USA
2025,senior,integral,Data Analyst,120000,USD,120000,US,presencial,US,media,USA
2025,senior,integral,Data Analyst,90000,USD,90000,US,presencial,US,media,USA
2025,senior,integral,Data Analyst,122000,USD,122000,US,presencial,US,media,USA
2025,senior,integral,Data Analyst,78000,USD,78000,US,presencial,US,media,USA
2025,junior,integral,Data Analyst,110000,USD,110000,US,presencial,US,media,USA
2025,junior,integral,Data Analyst,70000,USD,70000,US,presencial,US,media,USA
2025,pleno,integral,Data Reporter,70000,USD,70000,US,presencial,US,media,USA
2025,pleno,integral,Data Reporter,60000,USD,60000,US,presencial,US,media,USA
2025,senior,integral,Computational Biologist,124200,USD,124200,US,presencial,US,media,USA
2025,senior,integral,Computational Biologist,77000,USD,77000,US,presencial,US,media,USA
2025,senior,integral,Applied Scientist,258000,USD,258000,US,presencial,US,media,USA
2025,senior,integral,Applied Scientist,119800,USD,119800,US,presencial,US,media,USA
2025,senior,integral,Engineer,163000,USD,163000,CA,presencial,CA,media,CAN
2025,senior,integral,Engineer,80000,USD,80000,CA,presencial,CA,media,CAN
2025,senior,integral,Director,309500,USD,309500,US,presencial,US,media,USA
2025,senior,integral,Director,185700,USD,185700,US,presencial,US,media,USA
2025,pleno,integral,Manager,192000,USD,192000,US,presencial,US,media,USA
2025,pleno,integral,Manager,92100,USD,92100,US,presencial,US,media,USA
2025,pleno,integral,Manager,192000,USD,192000,US,presencial,US,media,USA
2025,pleno,integral,Manager,92100,USD,92100,US,presencial,US,media,USA
2025,pleno,integral,Manager,39000,EUR,41052,ES,presencial,ES,media,ESP
2025,pleno,integral,Manager,33000,EUR,34736,ES,presencial,ES,media,ESP
2025,senior,integral,Analyst,243340,USD,243340,US,presencial,US,media,USA
2025,senior,integral,Analyst,127310,USD,127310,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,203000,USD,203000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,123000,USD,123000,US,presencial,US,media,USA
2025,senior,integral,Data Engineer,165000,USD,165000,US,presencial,US,media,USA
2025,senior,integral,Data Engineer,135000,USD,135000,US,presencial,US,media,USA
2025,senior,integral,Data Engineer,280500,USD,280500,US,presencial,US,media,USA
2025,senior,integral,Data Engineer,204000,USD,204000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,203000,USD,203000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,123000,USD,123000,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,175400,USD,175400,US,presencial,US,media,USA
2025,pleno,integral,Data Engineer,106300,USD,106300,US,presencial,US,media,USA
2025,pleno,integral,Product Designer,125000,USD,125000,CA,remoto,CA,media,CAN
2025,pleno,integral,Product Designer,114000,USD,114000,CA,remoto,CA,media,CAN
2025,pleno,integral,Data Scientist,117000,USD,117000,US,presencial,US,media,USA
2025,pleno,integral,Data Scientist,90000,USD,90000,US,presencial,US,media,USA
2025,senior,integral,Data Analyst,123700,USD,123700,US,remoto,US,media,USA
2025,senior,integral,Data Analyst,68700,USD,68700,US,remoto,US,media,USA
2025,senior,integral,Data Analyst,123700,USD,123700,US,remoto,US,media,USA
2025,senior,integral,Data Analyst,68700,USD,68700,US,remoto,US,media,USA
2025,pleno,integral,Data Analyst,149900,USD,149900,US,presencial,US,media,USA
2025,pleno,integral,Data Analyst,75500,USD,75500,US,presencial,US,media,USA
2025,senior,integral,Data Engineer,135000,USD,135000,US,remoto,US,media,USA
2025,senior,integral,Data Engineer,101250,USD,101250,US,remoto,US,media,USA
2025,junior,integral,Data Analyst,19956,EUR,21006,FR,presencial,FR,media,FRA
2025,junior,integral,Data Analyst,17712,EUR,18644,FR,presencial,FR,media,FRA
2025,pleno,integral,Data Specialist,141440,USD,141440,US,presencial,US,media,USA
2025,pleno,integral,Data Specialist,96720,USD,96720,US,presencial,US,media,USA
2025,senior,integral,Consultant,217200,USD,217200,US,presencial,US,media,USA
2025,senior,integral,Consultant,111100,USD,111100,US,presencial,US,media,USA
2025,senior,integral,Analyst,200000,USD,200000,US,presencial,US,media,USA
2025,senior,integral,Analyst,175947,USD,175947,US,presencial,US,media,USA
2025,senior,integral,Analyst,212000,USD,212000,US,presencial,US,media,USA
2025,senior,integral,Analyst,212000,USD,212000,US,presencial,US,media,USA
2025,pleno,integral,Manager,284000,USD,284000,US,presencial,US,media,USA
2025,pleno,integral,Manager,162000,USD,162000,US,presencial,US,media,USA
2025,pleno,integral,Software Development Engineer,179000,USD,179000,US,presencial,US,media,USA
2025,pleno,integral,Software Development Engineer,112000,USD,112000,US,presencial,US,media,USA
2025,senior,integral,Architect,153925,USD,153925,US,remoto,US,media,USA
